series,measure,tau,pval,direction,significant
Nifty50,shannon,-0.021,0.0575,downward,False
Nifty50,apen,-0.0023,0.8359,downward,False
Nifty50,sampen,,1.0,downward,False
IT,shannon,0.0805,0.0,upward,True
IT,apen,-0.0305,0.0059,downward,True
IT,sampen,,1.0,downward,False
Pharma,shannon,0.0637,0.0,upward,True
Pharma,apen,-0.0294,0.0079,downward,True
Pharma,sampen,,1.0,downward,False
FMCG,shannon,0.1244,0.0,upward,True
FMCG,apen,-0.0847,0.0,downward,True
FMCG,sampen,,1.0,downward,False
Bank,shannon,-0.0344,0.0019,downward,True
Bank,apen,0.0329,0.003,upward,True
Bank,sampen,,1.0,downward,False
Auto,shannon,-0.0861,0.0,downward,True
Auto,apen,0.0567,0.0,upward,True
Auto,sampen,,1.0,downward,False
Metal,shannon,-0.1897,0.0,downward,True
Metal,apen,0.0855,0.0,upward,True
Metal,sampen,,1.0,downward,False
Realty,shannon,-0.0255,0.0213,downward,True
Realty,apen,-0.0227,0.0403,downward,True
Realty,sampen,,1.0,downward,False
Energy,shannon,-0.1482,0.0,downward,True
Energy,apen,0.0539,0.0,upward,True
Energy,sampen,,1.0,downward,False
SP500,shannon,0.0458,0.0,upward,True
SP500,apen,-0.0102,0.3568,downward,False
SP500,sampen,,1.0,downward,False
US_Tech,shannon,0.0777,0.0,upward,True
US_Tech,apen,-0.0666,0.0,downward,True
US_Tech,sampen,,1.0,downward,False
US_Health,shannon,0.0126,0.2556,upward,False
US_Health,apen,0.0426,0.0001,upward,True
US_Health,sampen,,1.0,downward,False
US_Energy,shannon,-0.0399,0.0003,downward,True
US_Energy,apen,-0.0643,0.0,downward,True
US_Energy,sampen,,1.0,downward,False
US_Financials,shannon,0.0637,0.0,upward,True
US_Financials,apen,-0.0071,0.5189,downward,False
US_Financials,sampen,,1.0,downward,False
US_ConsDisc,shannon,0.0416,0.0002,upward,True
US_ConsDisc,apen,-0.0705,0.0,downward,True
US_ConsDisc,sampen,,1.0,downward,False
US_ConsStap,shannon,-0.002,0.8585,downward,False
US_ConsStap,apen,-0.1795,0.0,downward,True
US_ConsStap,sampen,,1.0,downward,False
US_Industrial,shannon,0.0719,0.0,upward,True
US_Industrial,apen,-0.0382,0.0006,downward,True
US_Industrial,sampen,,1.0,downward,False
US_Materials,shannon,0.0685,0.0,upward,True
US_Materials,apen,-0.0225,0.0424,downward,True
US_Materials,sampen,,1.0,downward,False
